TLD,Country/Name,Incidents to Sites Ratio
.top,Jiangsu Bangning Science and Technology Co,1 in 23.3
.shop,Shop,1 in 31.6
.ltd,Ltd,1 in 50.4
.monster,Monster,1 in 61.5
.trade,Trade,1 in 72.8
.wang,Chinese,1 in 66.8
.autos,Autos,1 in 70.1
.club,Club,1 in 85.2
.asia,Asia-Pacific region,1 in 114
.to,Tonga,1 in 139
.pk,Pakistan,1 in 166
.id,Indonesia,1 in 167
.cyou,ShortDot SA,1 in 172
.bd,Bangladesh,1 in 172
.live,Rightside,1 in 178
.ng,Nigeria,1 in 185
.th,Thailand,1 in 186
.am,Armenia,1 in 187
.lol,Lol,1 in 189
.beauty,Beauty,1 in 206
