RMMSoftware,Vendor URL
teamviewer,https://www.teamviewer.com/
anydesk,https://anydesk.com/
gotomypc,https://get.gotomypc.com/
screenconnect,https://screenconnect.connectwise.com/
simplehelp,https://simple-help.com/
netsupport,https://www.netsupportsoftware.com/
atera,https://www.atera.com/
gotohttp,https://gotohttp.com/
splashtop,https://www.splashtop.com/
ammyy,https://www.ammyy.com/
idrive,https://www.remotepc.com/
remote utilities,https://www.remoteutilities.com/
glavsoft,https://glavsoft.com/
